OBJECTID,Equipment_ID,Equipment_Name,Current_Location,Current_Lat,Current_Long,Allocated_Location,Allocated_Lat,Allocated_Long,ON_Number,Lifeboat_Number,MMSI,Class,Launch_Method,Product_ID,Model_ID,On_Service_Date,x,y
939,OB02033466,D-Class ILB OOR LIFESAVER,Broughty Ferry ILB D,56.46497726,-2.877309084,Broughty Ferry ILB D,56.46497726,-2.877309084,,D-834,232019614,D-Class,IB1 variant,IB1,MK2IB1,01/04/2019,-2.87730908399993,56.4649772600001
940,OB02002970,ON1268 Severn ALB William Blannin,Buckie ALB,57.68086624,-2.952712059,Buckie ALB,57.68086624,-2.952712059,ON1268,17-37,235007809,Severn,Afloat Boat,AfloatBoat,MK2MTUSevern,28/05/2003,-2.95271205899996,57.6808662400001
941,OB02002096,Y-Class Avon / ILC MK1 3-5M,Buckie ALB,57.68086624,-2.952712059,NULL,NULL,NULL,,Y-177,,Y-Class,Avon / ILC,Avon/ILC,MK13-5M,01/01/1999,-2.95271205899996,57.6808662400001
942,OB02033133,D-Class ILB BARBARA ANNE BENNETT,Bude ILB D,50.83073425,-4.55008316,NULL,NULL,NULL,,D-826,232019491,D-Class,IB1 variant,IB1,MK2IB1,08/01/2019,-4.55008315999993,50.83073425
943,OB02029870,Rescue Water Craft Yamaha VX1050,Bude Lifeboat Station,50.83073425,-4.55008316,NULL,NULL,NULL,,RWC-129,,RWC,Yamaha,Yamaha,VX1050,13/06/2018,-4.55008315999993,50.83073425
944,OB02049013,D-Class ILB Ronald and Marjorie Stanley Taylor,Bude Lifeboat Station,50.83073425,-4.55008316,Bude ILB D,50.83073425,-4.55008316,,D-888,,D-Class,IB1 variant,IB1,MK2IB1,06/01/2023,-4.55008315999993,50.83073425
945,OB02045009,Rescue Water Craft Yamaha VX1050,Bude Support Centre,50.821424,-4.528643,Hayle Support Centre,50.178696,-5.406723,,RWC-169,,RWC,Yamaha,Yamaha,VX1050,16/08/2022,-4.52864299999993,50.821424
946,OB02029869,Rescue Water Craft Yamaha VX1050,Bude Support Centre,50.821424,-4.528643,NULL,NULL,NULL,,RWC-128,,RWC,Yamaha,Yamaha,VX1050,13/06/2018,-4.52864299999993,50.821424
947,OB02033179,Rescue Water Craft Yamaha VX1050,Bude Support Centre,50.821424,-4.528643,NULL,NULL,NULL,,RWC-137,,RWC,Yamaha,Yamaha,VX1050,22/01/2019,-4.52864299999993,50.821424
948,OB02006049,B-Class A85 William Henry Liddington,Bundoran ILB B,54.47702026,-8.289135933,Bundoran ILB B,54.47702026,-8.289135933,,B-834,235101864,B-Class,Atlantic 85,Atlantic85,MK2SIMSAtlantic85,01/07/2009,-8.28913593299995,54.4770202600001
949,OB02007125,B-Class A85 Tony and Robert Britt,Burnham-on-Crouch ILB B,51.62918472,0.802529991,Burnham-on-Crouch ILB B,51.62918472,0.802529991,,B-849,235113004,B-Class,Atlantic 85,Atlantic85,MK2SIMSAtlantic85,10/08/2011,0.802529991000029,51.6291847200001
950,OB02027096,D-Class ILB David and Barbara Chapman,Burnham-on-Crouch ILB D,51.62918472,0.802529991,Burnham-on-Crouch ILB D,51.62918472,0.802529991,,D-807,232006765,D-Class,IB1 variant,IB1,MK2IB1,27/02/2017,0.802529991000029,51.6291847200001
